"","Kingdom","Phylum","Class","Order","Family","Genus","Species","unique"
"ASV1","d__Eukaryota",NA,NA,NA,NA,NA,NA,"0f61f302e4cd37e97581ee63963c3b0f"
"ASV2","d__Eukaryota",NA,NA,NA,NA,NA,NA,"70d312593fbf4df0d774fa6aa224568e"
"ASV3","Unassigned",NA,NA,NA,NA,NA,NA,"8b761e97be3eb1cc91a65a656810f874"
"ASV4","Unassigned",NA,NA,NA,NA,NA,NA,"fdbfdd695cc322a1337638c0bff5343d"
"ASV5","d__Eukaryota",NA,NA,NA,NA,NA,NA,"de4736a940f602ed803c0e35ac2e71ed"
"ASV6","Unassigned",NA,NA,NA,NA,NA,NA,"d9b3dccaf1975e08e1b6231ef3380938"
"ASV7","d__Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae",NA,NA,"131cbf661b205a2f9577d8d1f2badd95"
"ASV8","d__Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,"e6900f49f13a1adf4f79c46f8e64aca4"
"ASV9","d__Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,"c96f2e37cf9f37e45475810c764b204a"
"ASV10","d__Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,"e1314c7f5b51bd24bec6fa3bdc653110"
"ASV11","d__Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,"af3794647fb68a991fa78157f25cc6ed"
"ASV12","d__Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,"6189d84ab955b5545d11b3fa2393aa75"
"ASV13","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"493289773d16c8adbcd6d3833c130380"
"ASV14","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"495508cd1c139c0fad3b183787ad25ca"
"ASV15","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"86a104c4af6ab78d9993f899b8d1aab3"
"ASV16","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"128a6639a9db1369c2036ac7150bb04f"
"ASV17","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",NA,"a3e3ede9f486b27df7f18a4f89eb3a0d"
"ASV18","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA,"2d6e037df1e57d696748b31d3925d23c"
"ASV19","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA,"92f78d241b45e3493f3c8373783c337d"
"ASV20","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA,"9f2093ecb6115104b438bc7a7b384a46"
"ASV21","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA,"e0957b404bd3a6d7f7a9152b07f8dc82"
"ASV22","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA,"b575996c5a315eed9d14f6c0d64349ee"
"ASV23","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA,"aa4ff9833b68f75472f1d907ebb630e6"
"ASV24","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA,"832fdb66346977524e7ae1e853b88956"
"ASV25","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA,"63d4ec93e53ae5c5339b7d38813d2445"
"ASV26","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella",NA,"e6430c6a0925d604185592b048fdb259"
"ASV27","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Moellerella",NA,"0b0edeb9b5411035033d10871a14a358"
"ASV28","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia",NA,"eff5488d3d29b183334c63c7bc4c737c"
"ASV29","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia",NA,"066048b07b11b82130aa3c27a0a4d71b"
"ASV30","d__Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae",NA,NA,"1eec8bf3bb333388fdd5078345182923"
"ASV31","d__Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",NA,"0abb33c685a77ba7f30cc36a8fb814be"
"ASV32","d__Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",NA,"c543e95dc8b4a081b41d173f7b067e29"
"ASV33","d__Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",NA,"6fc1292b74da0160ee42105bd40e0c04"
"ASV34","d__Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",NA,"8224d04daea05df2646c6b0f03ca0e9f"
